name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Hangar convertido,converted_hangar,1,,,"special, non_phase, merc, standard",Fighters,5000,,,,0,10,10,10,com.fs.starfarer.api.impl.hullmods.ConvertedHangar,<Tooltip creado en el script>,Hangar de cazas improvisado para naves que no son portacazas.,Aumenta la tasa de recuperacion de la reposicion de cazas un %s en cruceros y un %s en naves capitales. Sin efecto adicional en destructores.,graphics/hullmods/converted_hangar.png
Hangar de cazas convertido,converted_fighterbay,0,,,"req_spaceport, special, non_phase, standard","Fighters, Logistics, Requires Dock",3000,,,,2,4,6,10,data.hullmods.ConvertedFighterBay,"Convierte los hangares de caza de la nave que albergan escuadrones integrados en bodegas de carga improvisadas, otorgandole un %s adicional de capacidad de carga y reduciendo sus requisitos de tripulacion un %s por cada hangar de caza. La reduccion de tripulacion esta limitada a un maximo de %s.",Convierte los hangares integrados en almacenes de carga improvisados.,Coste de mantenimiento mensual reducido un %s por cada hangar de cazas.,graphics/hullmods/converted_fighter_bay.png
Nucleo de fijacion dedicado,dedicated_targeting_core,0,,,"offensive, merc, standard",Weapons,2500,TRUE,,,0,0,15,25,data.hullmods.DedicatedTargetingCore,"Aumenta el alcance de las armas balisticas y de energia en un %s/%s para cruceros y naves capitales.

No se puede instalar en fragatas ni destructores, y no puede funcionar junto con la Unidad de Apuntado Integrada.

La mayoria de las naves de combate instalan una Unidad de Apuntado Integrada o un Nucleo de Apuntado Dedicado, con la excepcion de las variantes mas especializadas.",Aumenta el alcance de las armas; especialmente en naves grandes.,Aumenta el bono de alcance al %s para cruceros y al %s para naves capitales.,graphics/hullmods/targeting_core.png
Matriz de fijacion defensiva,defensive_targeting_array,2,,,"special, merc, standard",Fighters,3000,,,,2,4,6,10,com.fs.starfarer.api.impl.hullmods.DefensiveTargetingArray,"Los enlaces de comunicacion estandar de los cazas se han reorientado para proporcionar datos de apuntado de corto alcance.

Aumenta el dano de los cazas a misiles y otros cazas un %s, pero impide que los cazas se alejen de las proximidades de su nave.",Aumenta el dano de DP de los cazas; reduce el alcance de patrulla de los cazas a cero.,Amplia el alcance de las armas balisticas y de energia de los cazas de la nave en %s unidades.,graphics/hullmods/defensive_targeting_array.png
Paquete de ECCM,eccm,2,,,"offensive, defensive, merc, standard",Weapons,2500,,,,5,8,15,20,data.hullmods.ECCMPackage,"Reduce la probabilidad de que los misiles lanzados por la nave se vean afectados por contramedidas electronicas y bengalas en un %s.

Un nucleo de CPU adicional en cada misil aumenta la velocidad maxima del misil en un %s y su maniobrabilidad en un %s, ademas de mejorar significativamente el algoritmo de guia.

Tambien reduce la reduccion del alcance de las armas debida a la contramedida electronica enemiga en un %s.",Mejora la velocidad y el guiado de los misiles; reduce el efecto de la guerra electronica enemiga.,Anula por completo la reduccion del alcance de las armas y hace que los misiles de la nave ignoren siempre las bengalas.,graphics/hullmods/eccm_package.png
Paquete de ECM,ecm,2,,,"offensive, special, merc, standard","Weapons, Support",4000,,,,6,12,18,24,com.fs.starfarer.api.impl.hullmods.ECMPackage,"Al desplegarse en combate, otorga un indice de ECM de %s/%s/%s/%s, segun el tamano del casco de esta nave.",Aumenta la clasificacion de ECM de la nave.,,graphics/hullmods/ecm_package.png
Paquete de escolta,escort_package,1,,,"special, weapons, engines, standard","Special, Weapons, Engines",8000,,,,0,7,15,0,com.fs.starfarer.api.impl.hullmods.EscortPackage,"Cuando esta nave se encuentra a aproximadamente %s u de una nave aliada mas grande, aumenta la maniobrabilidad de esta nave un %s y su velocidad maxima un %s. Tambien aumenta el alcance de las armas balisticas y de energia un %s.

Estos bonos son del %s para los destructores cuando la nave aliada cercana es un capital.","Aumenta la maniobrabilidad, la velocidad maxima y el alcance de las armas al estar cerca de una nave aliada de mayor tamano.",Destructores: reduce el dano recibido por los escudos un %s. Sin efecto adicional en cruceros.,graphics/hullmods/escort_package.png
Tripulacion de cubierta ampliada,expanded_deck_crew,1,,,"special, merc, standard",Fighters,4000,,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.ExpandedDeckCrew,"Reduce la tasa de disminucion de la reposicion de cazas por perdidas de estos un %s, y aumenta la tasa de recuperacion un %s.

Aumenta la tripulacion necesaria un %s por cada hangar.",Mejora la tasa de reemplazo de cazas; aumenta los requisitos de tripulacion.,,graphics/hullmods/expanded_deck_crew.png
Cargadores ampliados,magazines,1,,,"offensive, merc, standard",Weapons,2500,,,,3,5,7,10,data.hullmods.ExpandedMagazines,Aumenta la capacidad de municion o el numero de cargas de las armas balisticas y de energia un %s.,Aumenta la municion y las cargas de las armas balisticas y de energia.,Aumenta la tasa de regeneracion de municion/carga para armas balisticas y de energia un %s.,graphics/hullmods/expanded_magazines2.png
Racks de misiles ampliados,missleracks,1,,,"offensive, merc, standard",Weapons,5000,,,,8,12,20,30,data.hullmods.ExpandedMissileRacks,Aumenta la capacidad de municion de las armas de misiles un %s.,Aumenta la municion de las armas de misiles.,Reduce la cadencia de tiro de las armas de misiles un %s.,graphics/hullmods/expanded_missile_racks.png
Escudos extendidos,extendedshieldemitter,1,,,"shields, defensive, merc, standard",Shields,5000,,,,4,8,12,20,data.hullmods.ExtendedShieldEmitter,Aumenta la cobertura del escudo en %s grados.,Aumenta el arco maximo del escudo.,Aumenta la cobertura del escudo un %s adicional en grados.,graphics/hullmods/extended_shields.png
Adyuvante de bobina de flujo,fluxcoil,0,,,"special, merc, standard",Special,4000,TRUE,,,4,8,12,20,data.hullmods.FluxCoilAdjunct,"Aumenta la capacidad de flujo de la nave un %s/%s/%s/%s, segun el tamano del casco. No es tan eficiente como los capacitores de flujo; es mas util cuando se anade a un diseno que ya posee el numero maximo posible de capacitores.",Aumenta la capacidad de flujo.,"Aumenta la capacidad de flujo un %s/%s/%s/%s adicional, haciendo que la bobina sea tan eficiente como anadir condensadores.",graphics/hullmods/flux_coil_adjunct.png
Distribuidor de flujo,fluxdistributor,0,,,"special, merc, standard",Special,4000,TRUE,,,4,8,12,20,data.hullmods.FluxDistributor,"Aumenta la disipacion de flujo de la nave en un %s/%s/%s/%s, segun el tamano del casco. No es tan eficiente como las ventilaciones de flujo; es mas util cuando se anade a un diseno que ya cuenta con el numero maximo posible de ventilaciones.",Aumenta la disipacion de flujo.,"Aumenta la disipacion de flujo un %s/%s/%s/%s adicional, haciendo que el distribuidor sea tan eficiente como anadir ventilaciones.",graphics/hullmods/flux_distributor.png
,,,,,,,,,,,,,,,,,,,
Derivacion de escudo,shield_shunt,1,,,"special, shields, merc, standard","Special, Shields",3000,,,,3,5,7,10,com.fs.starfarer.api.impl.hullmods.ShieldShunt,"Elimina los escudos de la nave. Los nodos del emisor externo se sustituyen por placas reforzadas, aumentando el blindaje de la nave un %s.",Elimina los escudos y aumenta el blindaje.,Aumenta el blindaje de la nave un %s adicional.,graphics/hullmods/shield_shunt.png
Generador de escudo improvisado,frontshield,0,,,"shields, defensive, standard",Shields,4000,,,,5,10,15,25,data.hullmods.FrontShieldGenerator,"Instala un generador de escudos improvisado e ineficiente en la nave. El emisor del escudo esta fijado en una posicion frontal y tiene un arco de %s grados.

El generador de escudos extrae gran parte de su energia de los motores y reduce la velocidad maxima de la nave un %s.",Instala escudos basicos en naves sin escudo. Reduce la velocidad maxima.,,graphics/hullmods/front_shield_generator.png
Autocargador de misiles,missile_autoloader,1,,,"offensive, merc, standard",Weapons,6000,,,,8,12,20,30,com.fs.starfarer.api.impl.hullmods.MissileAutoloader,<tooltip creado en el script debido a la complejidad de las secciones/otros>,Recarga las armas de misiles en monturas de misiles pequenas.,Aumenta el tiempo de recarga tras recargar a %s segundos.,graphics/hullmods/missile_autoloader.png
Escudos reforzados,hardenedshieldemitter,3,,,"shields, defensive, merc, standard",Shields,10000,,,,5,10,15,25,data.hullmods.HardenedShieldEmitter,Reduce el dano recibido por los escudos un %s. Tambien reduce la probabilidad de que los escudos sean atravesados por arcos de EMP de armas como el rayo ionico.,Reduce el dano recibido por los escudos.,,graphics/hullmods/hardened_shields.png
Subsistemas reforzados,hardened_subsystems,0,,,"special, merc, standard",Special,2500,TRUE,,,5,10,15,25,data.hullmods.HardenedSubsystems,"Aumenta el tiempo de rendimiento maximo para las naves que sufren una degradacion de su rendimiento por despliegues prolongados un %s.

Tambien reduce la tasa de degradacion de la preparacion de combate un %s.",Aumenta el tiempo de rendimiento maximo; la PC se degrada mas lentamente.,,graphics/hullmods/hardened_subsystems.png
Blindaje pesado,heavyarmor,0,,,"defensive, merc, standard",Defenses,2500,,,,8,15,20,40,data.hullmods.HeavyArmor,"Aumenta el blindaje de la nave un %s/%s/%s/%s puntos, segun el tamano del casco.",Aumenta el blindaje.,Reduce la maniobrabilidad de la nave un %s.,graphics/hullmods/heavy_armor.png
Amplificador de dispersion alta,high_scatter_amp,3,,,"offensive, merc, standard",Weapons,5000,,,,4,8,12,20,com.fs.starfarer.api.impl.hullmods.HighScatterAmp,<tooltip creado en el script debido a las secciones>,Reduce el alcance de los haces; los haces infligen mas dano y aplican flujo duro a los escudos.,Aumenta el dano de las armas de rayo en un %s adicional.,graphics/hullmods/high_scatter_amp.png
IA de defensa de punto integrada,pointdefenseai,3,,,"defensive, merc, standard","Weapons, Defenses",10000,,,,3,6,9,15,data.hullmods.IntegratedPointDefenseAI,"Otorga a todas las armas de defensa de punto la capacidad de identificar -e ignorar- las bengalas de senuelo. Ademas, todas las armas de defensa de punto obtienen el mejor seguimiento de objetivos posible, independientemente de la preparacion de combate, y todo el dano a misiles aumenta un %s. ",La DP ignora las bengalas de senuelo; mejora el apuntado de objetivos y aumenta el dano a los misiles.,"Todas las armas pequenas que no sean de misiles ni de asalto se clasifican como ""defensa de punto"", fijan automaticamente como objetivo a los misiles y se ven afectadas por los modificadores de la estadistica de defensa de punto.",graphics/hullmods/integrated_point_defense_ai.png
# Integracion de defensa de punto,pdintegration,3,,,"defensive, merc","Weapons, Defenses",10000,,,,12,15,18,24,com.fs.starfarer.api.impl.hullmods.PDIntegration,"Reduce el coste en puntos de armamento de las armas de defensa de punto pequenas un %s. La reduccion de coste solo afecta a las armas que tienen la capacidad de DP como una caracteristica propia de la propia arma, y no cuando se obtiene por otros medios, como un mod de casco.

Ademas, todas las armas de defensa de punto infligen un %s mas de dano a todos los objetivos.",Reduce el coste en puntos de armamento de las armas de DP pequenas; aumenta todo el dano de DP.,,graphics/hullmods/integrated_point_defense_ai.png
Unidad de fijacion integrada,targetingunit,3,,,"offensive, merc, standard",Weapons,10000,,,,4,8,15,25,data.hullmods.IntegratedTargetingUnit,"Amplia el alcance de las armas balisticas y de energia un %s/%s/%s/%s, segun el tamano del casco. No puede funcionar en conjunto con un Nucleo de Apuntado Dedicado.

La mayoria de las naves de combate instalan una Unidad de Apuntado Integrada o un Nucleo de Apuntado Dedicado, con la excepcion de las variantes mas especializadas.",Aumenta el alcance de las armas; especialmente en naves grandes.,,graphics/hullmods/integrated_targeting_unit.png
Rele de navegacion,nav_relay,2,,,"engines, special, merc, standard","Engines, Support",5000,,,,10,15,20,25,com.fs.starfarer.api.impl.hullmods.NavRelay,"Al desplegarse en combate, aumenta la clasificacion de navegacion de tu flota un %s/%s/%s/%s, segun el tamano del casco de esta nave.

La clasificacion de navegacion total de tu flota aumenta la velocidad maxima de tus naves desplegadas.",Aumenta la velocidad maxima de las naves desplegadas.,,graphics/hullmods/nav_relay.png
Interfaz neural,neural_interface,3,,,"special, no_drop, no_drop_salvage",Special,10000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.NeuralInterface,"Vincula la nave insignia con otra nave, permitiendo que ambas naves se %s al mismo tiempo. Al igual que con ""transferir mando"", algunos efectos de habilidad -como los que aumentan la capacidad de municion o la preparacion de combate- no se aplican a la otra nave.

Tambien permite el cambio rapido entre las naves vinculadas sin usar una capsula de transporte. El traslado es instantaneo si la suma de los puntos de despliegue de las naves es de %s o menos. La nave de destino no debe estar bajo el mando de un oficial o un nucleo de IA.",Permite el cambio rapido entre naves; reinicia el tiempo de recarga del sistema y anade una carga.,"Las transferencias desde la nave son siempre instantaneas, independientemente del total de puntos de despliegue.",graphics/hullmods/neural_interface.png
Integrador neural,neural_integrator,,,,"special, no_drop, no_drop_salvage",Special,10000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.NeuralIntegrator,"Una version aumentada de la Interfaz Neural que funciona con naves automatizadas al permitir el control directo de todos los sistemas de la nave mediante el enlace, permitiendo que ambas naves se %s al mismo tiempo. Al igual que con el ""transferencia de mando"", algunos efectos de las habilidades -como los que aumentan la capacidad de municion o la preparacion de combate- no se aplican a la otra nave.

Tambien permite el cambio rapido entre las naves vinculadas sin usar una capsula de transporte. La transferencia es instantanea si los puntos de despliegiente combinados de las naves son %s o menos. La nave de destino no debe estar bajo el mando de un oficial o un nucleo de IA.

La complejidad de las modificaciones aumenta los puntos de despliegue de la nave y el coste de suministros para recuperarse del despliegue en un %s.",Interfaz neural especializada para naves automatizadas.,"Las transferencias desde la nave son siempre instantaneas, independientemente del total de puntos de despliegue.",graphics/hullmods/neural_integrator.png
Conversion de escudo - frontal,frontemitter,2,,,"shields, defensive, merc, standard",Shields,7000,,,,3,5,8,12,data.hullmods.FrontShieldEmitter,"Fija el emisor de escudo omnidireccional de la nave en una posicion frontal y amplia su arco un %s. Como ocurre con todos los emisores frontales, el escudo tambien se desplegara el doble de rapido.",Convierte el escudo omnidireccional en frontal; amplia el arco.,Reduce el dano recibido por los escudos un %s.,graphics/hullmods/front_shield_emitter.png
Conversion de escudo - omnidireccional,adaptiveshields,3,,,"shields, defensive, merc, standard",Shields,7000,,,,3,5,8,12,data.hullmods.OmniShieldEmitter,Convierte los escudos frontales en omnidireccionales. Reduce el arco del escudo un %s.,Convierte el escudo frontal en omnidireccional; reduce el arco.,Anula la penalizacion del arco del escudo.,graphics/hullmods/omni_shield_emitter_mod.png
Centro de operaciones,operations_center,1,,,special,Special,5000,,,,30,30,30,30,com.fs.starfarer.api.impl.hullmods.OperationsCenter,Aumenta la tasa de recuperacion de puntos de mando un %s cuando se instala en la nave insignia.,Aumenta la tasa de recuperacion de puntos de mando cuando se actua como nave insignia.,,graphics/hullmods/operations_center.png
Ancla de fase,phase_anchor,3,,,"phase, merc, no_build_in, standard, phase_brawler",Phase,7000,,,,10,20,30,50,com.fs.starfarer.api.impl.hullmods.PhaseAnchor,"Reduce el coste de activacion del camuflaje de fase a %s. Aumenta la disipacion de flujo blando y la tasa de recarga de armas en un %s mientras esta en fase.

Al sufrir danos criticos que de otro modo destruirian o inutilizarian la nave, permite iniciar un descenso de emergencia a las profundidades del espacio-p. La nave contara como retirada y emergera en el espacio normal cuando termine el combate, sufriendo una penalizacion adicional de preparacion de combate igual al %s de su coste de despliegue. La nave debe tener suficiente preparacion de combate para cubrir este coste e iniciar el descenso.

Debido a las inmensas distorsiones en el espacio-p causadas por tal maniobra, solo una nave por batalla -independientemente del bando al que pertenezca- puede realizarla.",Aumenta la disipacion de flujo y la recarga de armas mientras se esta en fase; permite una maniobra de inmersion de emergencia.,,graphics/hullmods/phase_anchor.png
Lanzaderas de rescate,recovery_shuttles,1,,,"special, standard",Fighters,4000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.RecoveryShuttles,Reduce las bajas sufridas por los pilotos de cazas un %s.,Reduce las bajas de los pilotos de cazas.,Aumenta la reduccion de bajas de pilotos de caza al %s.,graphics/hullmods/recovery_shuttles.png
Mamparos reforzados,reinforcedhull,0,,,"defensive, merc, standard",Defenses,2500,TRUE,,,5,10,15,30,data.hullmods.ReinforcedBulkheads,"Aumenta la integridad del casco de la nave un %s. Si queda inhabilitada, la nave no se rompera y casi siempre es recuperable tras la batalla.",Aumenta la integridad del casco; la nave es casi siempre recuperable si se pierde.,,graphics/hullmods/reinforced_bulkheads.png
Conductos de flujo resistentes,fluxbreakers,2,,,"defensive, merc, standard","Special, Defenses",7000,,,,3,6,9,15,data.hullmods.FluxBreakers,Disminuye el dano EMP recibido de armas como los canones ionicos un %s. Tambien aumenta la tasa de disipacion de flujo de la nave durante la ventilacion un %s.,Reduce el dano por EMP recibido y mejora la velocidad de ventilacion.,Aumenta la tasa de disipacion de flujo durante la ventilacion un %s adicional.,graphics/hullmods/resistant_flux_conduits.png
Anuladores de seguridad,safetyoverrides,0,,,"special, engines, offensive, merc, no_build_in, standard","Special, Engines",2500,TRUE,,,15,30,45,70,data.hullmods.SafetyOverrides,"Desactivar los protocolos de seguridad aumenta la velocidad maxima de la nave en combate un %s/%s/%s (segun el tamano de la nave, con un aumento correspondiente en la aceleracion) y permite que el impulso de motor de flujo cero surta efecto sin importar el nivel de flujo. La tasa de disipacion de flujo, incluida la de las ventilaciones adicionales, aumenta por un factor de %s.

Reduce el tiempo de rendimiento maximo por un factor de %s, impide el uso de ventilacion activa y reduce drasticamente el alcance de las armas por encima de las %s unidades.

No se puede instalar en naves civiles o capitales.",Mejora drastica del rendimiento; reduce notablemente el tiempo de rendimiento maximo.,,graphics/hullmods/safety_overrides.png
,,,,,,,,,,,,,,,,,,,
Escudos estabilizados,stabilizedshieldemitter,1,,,"shields, defensive, merc, standard",Shields,5000,,,,3,6,9,15,data.hullmods.StabilizedShieldEmitter,Reduce la cantidad de flujo blando que generan los escudos activos por segundo un %s. No afecta al flujo duro generado cuando los escudos reciben danos.,Reduce el mantenimiento de flujo de los escudos.,Convierte el %s del dano de flujo duro recibido por los escudos en flujo blando.,graphics/hullmods/stabilized_shields.png
,,,,,,,,,,,,,,,,,,,
Inyector inestable,unstable_injector,0,,,"engines, merc, standard",Engines,2500,TRUE,,,5,10,15,25,data.hullmods.UnstableInjector,"Aumenta la velocidad maxima de la nave en combate un %s/%s/%s/%s u/segundo, segun el tamano del casco.

Interfiere con el apuntado de las armas y otros sistemas vulnerables, reduciendo el alcance de las armas que no son misiles un % de %s y aumentando el tiempo de reemplazo de cazas un %s.","Aumenta la velocidad, reduce el alcance de las armas.",,graphics/hullmods/unstable_injector.png
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
# mods de casco de logistica,,,,,,,,,,,,,,,,,,,
Atraco adicional,additional_berthing,0,,,"req_spaceport, merc, standard","Logistics, Requires Dock",3000,TRUE,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.AdditionalBerthing,"Aumenta la capacidad maxima de tripulacion un %s/%s/%s/%s, segun el tamano del casco, o un %s, lo que sea mayor.

En cascos de grado civil, tambien aumenta el uso de suministros de mantenimiento un %s.",Aumenta la capacidad de tripulacion.,"Duplica el aumento de la capacidad de tripulacion y, en cascos civiles, anula el aumento del coste de mantenimiento.",graphics/hullmods/berthing.png
Campo de propulsion aumentado,augmentedengines,1,,,"req_spaceport, merc, standard","Logistics, Requires Dock",8000,,,,8,16,24,40,data.hullmods.AugmentedEngines,Aumenta el nivel de propulsion maximo un %s.,Aumenta el nivel de propulsion maximo.,Aumenta el nivel de propulsion maximo un %s adicional.,graphics/hullmods/augmented_drive_field2.png
Tanques de combustible auxiliares,auxiliary_fuel_tanks,0,,,"req_spaceport, merc, standard","Logistics, Requires Dock",4000,TRUE,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.AuxiliaryFuelTanks,"Aumenta la capacidad maxima de combustible en %s/%s/%s/%s, segun el tamano del casco, o en %s, lo que sea mayor.

En cascos de grado civil, tambien aumenta el uso de suministros para mantenimiento en un %s.",Aumenta la capacidad de combustible.,"Duplica el aumento de la capacidad de combustible y, en cascos civiles, anula el aumento del coste de mantenimiento.",graphics/hullmods/fuel_tanks.png
Revision de eficiencia,efficiency_overhaul,0,,,"req_spaceport, merc, standard","Logistics, Requires Dock",4000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.EfficiencyOverhaul,"Reduce el uso de suministros para mantenimiento, el uso de combustible y la tripulacion minima necesaria un %s.

Aumenta las tasas de recuperacion de la preparacion de combate y de reparacion un %s. El consumo diario de suministros para la recuperacion de la PC aumenta para compensar la mayor tasa de recuperacion, pero el coste total de suministros sigue siendo el mismo.",Reduce los costes continuos y permite mas despliegues.,"Reduce el coste de mantenimiento, el uso de combustible y el requisito minimo de tripulacion un %s adicional.",graphics/hullmods/efficiency.png
Bodegas de carga ampliadas,expanded_cargo_holds,0,,,"req_spaceport, merc, standard","Logistics, Requires Dock",4000,TRUE,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.ExpandedCargoHolds,"Aumenta la capacidad maxima de carga un %s/%s/%s/%s, segun el tamano del casco, o un %s, lo que sea mayor.

En cascos de grado civil, tambien aumenta el uso de suministros de mantenimiento un %s.",Aumenta la capacidad de carga.,"Duplica el aumento de la capacidad de carga y, en cascos civiles, anula el aumento del coste de mantenimiento.",graphics/hullmods/expanded_cargo.png
Sensores de alta resolucion,hiressensors,2,,,"req_spaceport, merc, standard","Logistics, Requires Dock",9000,,,,4,6,9,15,com.fs.starfarer.api.impl.hullmods.HighResSensors,<Tooltip creado en el script>,Aumenta el alcance de sensores de la flota.,"Aumenta el rango de vision en combate de la nave un %s/%s/%s/%s, segun el tamano del casco.",graphics/hullmods/high_res_sensors.png
Conjunto de motores aislados,insulatedengine,0,,,"engines, defensive, req_spaceport, merc, standard","Engines, Logistics, Defenses, Requires Dock",2500,,,,3,6,9,15,data.hullmods.InsulatedEngines,"Aumenta la durabilidad de los motores de la nave en un %s y la integridad del casco en un %s.

El perfil de sensores de la nave tambien se reduce en un %s.",Hace que los motores sean mas dificiles de desactivar; reduce el perfil de sensores.,Aumenta la durabilidad del motor un %s adicional y aumenta la reduccion del perfil de sensores al %s.,graphics/hullmods/insulated_engine_assembly.png
Subsistemas militarizados,militarized_subsystems,0,,,"req_spaceport, merc, standard","Special, Logistics, Requires Dock",6000,TRUE,,,4,8,12,20,com.fs.starfarer.api.impl.hullmods.MilitarizedSubsystems,"Elimina las penalizaciones de un casco de grado civil y aumenta el nivel de propulsion maximo un %s.

Aumenta la tripulacion minima necesaria un %s.",Elimina las penalizaciones de sensores; aumenta el nivel de propulsion maximo y la tripulacion necesaria.,Anula el aumento de los requisitos de tripulacion.,graphics/hullmods/militarized_subsystems.png
Proteccion solar,solar_shielding,2,,,"defensive, req_spaceport, merc, standard","Defenses, Logistics, Requires Dock",5000,,,,3,6,9,15,data.hullmods.SolarShielding,"Desarrollado originalmente por ingenieros del Diktat tras pasar ciclos lidiando con las condiciones unicas del sistema interno de Askonia. Disminuye en un %s el efecto que tener en una corona solar tiene sobre la preparacion de combate; tambien tiene el mismo efecto contra tormentas en el hiperespacio profundo.

En combate, reduce el dano por energia recibido un %s.",Reduce el efecto de estar en una corona y el dano por energia recibido.,Aumenta la proteccion contra coronas solares y peligros similares al %s.,graphics/hullmods/solar_shielding2.png
Equipo de prospeccion,surveying_equipment,1,,,"special, req_spaceport, standard","Logistics, Requires Dock",5000,,,,5,10,15,25,data.hullmods.SurveyingEquipment,"Reduce la maquinaria pesada y los suministros necesarios para realizar prospecciones un %s/%s/%s/%s, segun el tamano del casco, hasta un minimo de %s para cada uno.",Reduce los requisitos de recursos para la prospeccion.,Aumenta la reduccion del coste de prospeccion un %s.,graphics/hullmods/surveying_equipment.png
,,,,,,,,,,,,,,,,,,,
# mods de casco integrados estandar,,,,,,,,,,,,,,,,,,,
