name,id,tags,planetary,decivRemove,script,desc,icon,order
Descivilizado,decivilized,,,,com.fs.starfarer.api.impl.campaign.econ.Decivilized,"Aqui no hay ninguna potencia gobernante estable. La civilizacion se ha derrumbado y la poblacion actual es, a efectos practicos, desconocida, aunque pueden detectarse grupos de supervivientes, bandidos y saqueadores.",graphics/icons/markets/decivilized.png,130
Subpoblacion descivilizada,decivilized_subpop,,,,com.fs.starfarer.api.impl.campaign.econ.DecivilizedSubpop,"La civilizacion ha regresado a algunas zonas de $market, a menudo a punta de rifle Gauss. Sin embargo, en los margenes sigue habiendo una poblacion de supervivientes, bandidos y saqueadores practicamente desconocida.",graphics/icons/markets/decivilized.png,130
Estacion abandonada,abandoned_station,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.AbandonedStation,Esta estacion esta abandonada.,graphics/icons/markets/abandoned.png,130
Industria artesanal,cottage_industry,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.CottageIndustry,"$Market cuenta con una base sustancial de industria ligera de baja tecnologia e intensiva en mano de obra. Aumenta la demanda de combustibles y materiales organicos simples, y proporciona un suministro ineficiente, aunque encantadoramente artesanal, de bienes domesticos.",graphics/icons/markets/cottage_industry.png,230
Puesto de avanzada,outpost,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Outpost,"$Market se gestiona de forma muy similar a una guarnicion o una gran nave espacial, con una estructura de mando oficial rigida. Esto mejora la estabilidad, pero requiere personal dedicado a los asuntos de seguridad interna.",graphics/icons/markets/outpost.png,130
Mayoria ludica,luddic_majority,"show_in_codex, codex_unlockable",,TRUE,com.fs.starfarer.api.impl.campaign.econ.LuddicMajority,,graphics/icons/markets/luddic_majority.png,142
Campos de minas sigilosos,stealth_minefields,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.StealthMinefields,Una red de minas ocultas proporciona a $market seguridad frente a forasteros entrometidos. Mejora la estabilidad.,graphics/icons/markets/stealth_mines.png,510
Capital regional,regional_capital,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RegionalCapital,"Un importante centro de administracion, seguridad y logistica. Mejora la estabilidad.",graphics/icons/markets/capital.png,500
Puerto Franco,free_market,show_in_codex,,TRUE,com.fs.starfarer.api.impl.campaign.econ.FreeMarket,"La autoridad portuaria local apenas impone regulaciones sobre la mercancia comerciada. Los controles de inmigracion son igual de laxos, lo que genera un mayor flujo de entrada de gente, aunque a veces de caracter mas cuestionable. Esto puede hacer que otras facciones vean esta colonia con desconfianza.",graphics/icons/markets/free_port.png,141
Inmigracion cerrada,closed_immigration,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ClosedImmigration,"Oficialmente, no se permite la inmigracion a $market. En la practica, esto ralentiza notablemente la inmigracion general y abre hueco para que ciertos tipos de delincuentes operen.",graphics/icons/markets/vice_demand.png,142
,,,,,,,,
Mundo inhabitable,uninhabitable,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldUninhabitable,"Un planeta yermo: la superficie de $market no puede sostener vida organica tal y como la conocemos, y la agricultura es imposible fuera de ecosistemas artificiales sellados.",graphics/icons/markets/uninhabitable_wide.png,10
Mundo helado,ice,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldIce,"La temperatura media de $Market esta muy por debajo del punto de congelacion del agua, y algunos gases atmosfericos terrestres comunes caen en forma de nieve. Los ventisqueros y glaciares de elementos volatiles ligeros pueden recolectarse.",graphics/icons/markets/ice_world_wide.png,10
Mundo desertico,desert,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldDesert,$Market: planeta desertico. Una biosfera xerofila mantiene una atmosfera respirable solo con una mascara ligera. La agricultura es casi imposible.,graphics/icons/markets/desert_world_wide.png,10
Mundo arido,arid,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldArid,"$Market esta cubierto de vastas llanuras y paramos secos. El agua escasea, y la agricultura a gran escala resulta dificil.",graphics/icons/markets/arid_world_wide.png,10
Mundo acuatico,water,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldWater,"El clima de $market es hospitalario, pero la agricultura se limita en gran medida a la acuicultura, y se necesita infraestructura muy especializada para desarrollar habitats e industria.",graphics/icons/markets/water_world_wide.png,10
Mundo de selva,jungle,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldJungle,"$Market es un mundo de selva humeda y calida, cubierto de vegetacion exuberante y formas de vida exoticas, lo que dificulta la agricultura y el mantenimiento de infraestructura permanente.",graphics/icons/markets/jungle_world_wide.png,10
Mundo terrestre,terran,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldTerran,"$Market es lo mas parecido a las condiciones de la Vieja Tierra que puede encontrarse en el Sector, y ofrece condiciones ideales para la agricultura y el asentamiento.",graphics/icons/markets/terran_world_wide.png,10
Mundo yermo y marginal,barren_marginal,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldBarrenMarginal,"Inhospitas e implacables, las condiciones exteriores de $market apenas son sobrevivibles para un humano con mascara de aire y equipo de proteccion, aunque ciertos liquenes modificados para la terraformacion las encuentran lo bastante tolerables.",graphics/icons/markets/barren_desert_wide.png,10
Mundo crepuscular,twilight,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldTwilight,"Con rotacion sincronica respecto a su estrella, o casi, $market es un mundo terraformado cuyos dias duran lo que una estacion. La variacion de temperatura entre el dia y la noche es, en consecuencia, extrema incluso para la vida terrestre modificada. Islas de biomas templados 'civilizados' se mantienen gracias al uso juicioso de parasoles y espejos solares. ",graphics/icons/markets/twilight_terran_world.png,10
Mundo de tundra,tundra,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldTundra,"La terraformacion ha traido vida terrestre a $market, pero el mundo sigue siendo tan frio como la mas profunda de las glaciaciones de la Tierra. Aunque millones de kilometros cuadrados estan cubiertos de glaciares, tambien hay provincias de taiga y estepas onduladas donde predominan condiciones mas templadas.",graphics/icons/markets/tundra_terran_wide.png,10
Mundo criovolcanico,cryovolcanic,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldUninhabitable,"Un mundo helado mas alla del frio mas profundo, donde cae nieve de metano sobre montanas de hielo de agua y los volcanes entran en erupcion con amoniaco. La radiacion estelar descompone los volatiles para formar una atmosfera de gases ligeros como el nitrogeno y el oxigeno, mientras el hidrogeno escapa al espacio. ",graphics/icons/markets/cryo_world_wide.png,10
,,,,,,,,
Poblacion disidente,dissident,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Dissident,"$Market es un vertedero de disidentes, rebeldes, librepensadores, artistas y otros alborotadores. Aumenta la demanda de armas e infantes de marina para vigilar a la chusma. Aumenta la disponibilidad de tripulacion debido a la emigracion.",graphics/icons/markets/dissidents.png,139
Cuartel general,headquarters,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Headquarters,"$Market es un centro de mando militar y operaciones logisticas para la potencia gobernante. Aumenta la estabilidad del mercado.

Aumenta la calidad y el numero de oficiales en las flotas de $market.",graphics/icons/markets/headquarters.png,360
Complejo hidroponico,hydroponics_complex,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Hydroponics,"Instalaciones de produccion agricola de biosfera sellada que permiten cultivar en orbita o en la superficie de mundos inhospitos. Requieren tripulacion para su funcionamiento, medio de cultivo organico y maquinaria pesada para su mantenimiento.",graphics/icons/markets/hydroponics.png,120
,,,,,,,,
Poblacion,population_1,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,Aqui solo viven unas decenas de personas de forma permanente.,graphics/icons/markets/population01.png,20
Poblacion,population_2,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,Apenas unos cientos de personas pueblan $marketName.,graphics/icons/markets/population02.png,20
Poblacion,population_3,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,Miles de personas llaman hogar a $marketName.,graphics/icons/markets/population03.png,20
Poblacion,population_4,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,Decenas de miles de personas viven en $marketName.,graphics/icons/markets/population04.png,20
Poblacion,population_5,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$MarketName alberga a cientos de miles de personas.,graphics/icons/markets/population05.png,20
Poblacion,population_6,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,La poblacion de $marketName se cuenta por millones.,graphics/icons/markets/population06.png,20
Poblacion,population_7,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$MarketName es un mundo de decenas de millones de habitantes.,graphics/icons/markets/population07.png,20
Poblacion,population_8,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$MarketName es uno de los pocos mundos del Sector con una poblacion de cientos de millones de habitantes.,graphics/icons/markets/population08.png,20
Poblacion,population_9,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,"Un refugio precioso para la humanidad en una galaxia peligrosa, $marketName alberga a miles de millones de almas.",graphics/icons/markets/population09.png,20
Poblacion,population_10,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,"$MarketName es un centro de poblacion dominante en el Sector, un rival de la Vieja Tierra como hogar de decenas de miles de millones de humanos.",graphics/icons/markets/population10.png,20
,,,,,,,,
,,,,,,,,
,,,,,,,,
# condiciones de mercado relacionadas con eventos,,,,,,,,
Escasez de alimentos,event_food_shortage,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.FoodShortage,"Hay una escasez temporal de alimentos disponibles en $market.
- Estabilidad reducida en $stabilityPenalty
- Se necesitan aproximadamente $neededFood unidades de comida para acabar con la escasez
- Precios de la comida aumentados por la reduccion del suministro
- Mas reputacion y experiencia al vender comida",graphics/icons/markets/food_shortage.png,1000
Disturbios recientes,recent_unrest,show_in_codex,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RecentUnrest,$Market ha vivido recientemente sucesos tumultuosos cuyo efecto persiste sobre la estabilidad.,graphics/icons/markets/recent_unrest.png,2000
Interrupcion comercial,event_trade_disruption,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.TradeDisruption,"Las flotas comerciales con destino u origen en $market estan sufriendo perdidas significativas. Lo mas probable es que la pirateria o la guerra sean las culpables.

Las siguientes mercancias se ven afectadas:
$commoditySummary",graphics/icons/markets/trade_disruption.png,1100
Contrabando,event_smuggling,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Smuggling,"$market esta experimentando un alto volumen de actividad de contrabando.

- Estabilidad reducida en $smugglingPenalty",graphics/icons/markets/smuggling.png,1000
Recompensa del sistema,event_bounty,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.SystemBounty,,graphics/icons/markets/bounty.png,1000
Nucleo de IA renegado,rogue_ai_core,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RogueAICore,"Hay un nucleo de IA renegado operando en $market o sus cercanias. Se desconocen sus planes y ambiciones a largo plazo, mas alla de su propia supervivencia.

Como minimo, la necesidad de vigilar sus posibles acciones vuelve menos eficientes las operaciones cotidianas y abona el terreno para rumores alarmantes.",graphics/icons/markets/rogue_ai.png,1200
Administracion de nucleo de IA (oculta),ai_core_admin,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.AICoreAdmin,Condicion oculta para saber cuando el nucleo deja de poder retirarse. No necesita icono.,graphics/icons/markets/rogue_ai.png,1000
Actividad pirata,pirate_activity,,,TRUE,com.fs.starfarer.api.impl.campaign.intel.bases.PirateActivity,"Hay indicios de que los piratas estan apuntando al transporte y a las colonias de este sistema: desde inspectores portuarios presionados para hacer la vista gorda, hasta incoherencias en los manifiestos de carga, pasando por un aumento de otras actividades delictivas.

Lo mas probable es que los piratas tengan una base en algun lugar relativamente cercano.",graphics/icons/markets/pirate_activity.png,1300
Actividad hostil,hostile_activity,,,TRUE,com.fs.starfarer.api.impl.campaign.intel.events.HostileActivity,,graphics/icons/markets/pirate_activity.png,1350
Respiro de la pirateria,piracy_respite,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.PiracyRespite,"Esta colonia esta disfrutando de un respiro frente a los estragos de la pirateria, por lo demas tan habituales en el Sector.",graphics/icons/markets/respite40.png,1375
Sociedad establecida,established_polity,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.EstablishedPolity,,graphics/icons/markets/established_polity.png,1380
Bloqueado,blockaded,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Blockaded,"El sistema en el que se encuentra esta colonia esta sufriendo un bloqueo, y el transporte comercial habitual sufre hostigamiento o algo peor. Los efectos continuaran hasta que la fuerza bloqueadora se retire o sea derrotada de forma contundente.",graphics/icons/markets/blockade.png,1385
Celulas de la Senda Ludica,pather_cells,,,TRUE,com.fs.starfarer.api.impl.campaign.intel.bases.LuddicPathCells,,graphics/icons/markets/pather_cells.png,1400
,,,,,,,,
# condiciones independientes,,,,,,,,
Interrupcion comercial,shipping_disruption,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ShippingDisruption,,graphics/icons/markets/trade_disruption.png,1000
,,,,,,,,
# varios,,,,,,,,
Repetidor de comunicaciones (oculto),comm_relay,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.CommRelayCondition,Condicion oculta; no necesita icono.,,
,,,,,,,,
,,,,,,,,
# condiciones de generacion procedural,,,,,,,,
Habitable,habitable,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.Habitable,Los seres humanos pueden sobrevivir a la exposicion sin proteccion a las condiciones superficiales de $market.,graphics/icons/markets/habitable.png,21
,,,,,,,,
,,,,,,,,
Ruinas dispersas,ruins_scattered,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Este mundo apenas se vio afectado por el gran proyecto del Dominio antes del Colapso. Solo quedan cupulas dispersas y destrozadas, que tal vez alberguen alijos perdidos de materiales valiosos.",graphics/icons/markets/ruins_scattered.png,100
Ruinas generalizadas,ruins_widespread,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Por $market pueden encontrarse ruinas generalizadas, destellos de fuentes de radiacion y el caracteristico eco radarico, distorsionado, de estructuras de cerametal espumado: pruebas de un esfuerzo colonizador pequeno pero concertado que se remonta al ultimo periodo de expansion del Dominio.",graphics/icons/markets/ruins_widespread.png,100
Ruinas extensas,ruins_extensive,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Por la superficie de $market se encuentran ciudades en ruinas, cuyos corazones destrozados derraman carreteras agrietadas y lineas de magnorrail desmoronadas, hasta llegar a los esqueletos de fabricas, cupulas de acuaponia y torres de comunicaciones.",graphics/icons/markets/ruins_extensive.png,100
Ruinas vastas,ruins_vast,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"$Market esta cubierto de vastas ruinas: ciudades, fabricas, minas, granjas, hogares. Los muertos abundan de forma pavorosa, entremezclados con materiales, bienes, herramientas y armas recuperables. Este mundo es una tumba para la soberbia del proyecto de colonizacion galactica y hegemonia del Dominio. ",graphics/icons/markets/ruins_vast.png,100
,,,,,,,,
,,,,,,,,
Frio,cold,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Las bajas temperaturas de $market exigen equipo especializado para realizar operaciones normales, lo que complica el soporte vital y la infraestructura.",graphics/icons/markets/cold.png,25
Frio extremo,very_cold,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"El frio extremo exige equipo y protocolos especializados para realizar operaciones con seguridad en $market, lo que complica la logistica, el soporte vital y la infraestructura.",graphics/icons/markets/cold_extreme.png,25
,,,,,,,,
Calor,hot,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Las condiciones de alta temperatura de $market exigen equipo especializado para realizar operaciones normales, lo que complica el soporte vital y la infraestructura.",graphics/icons/markets/hot.png,25
Calor extremo,very_hot,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"El calor extremo exige equipo y protocolos especializados para operar con seguridad en $market, lo que complica seriamente la logistica, el soporte vital y la estabilidad a largo plazo de la infraestructura.",graphics/icons/markets/hot_extreme.png,25
,,,,,,,,
,,,,,,,,
Actividad tectonica,tectonic_activity,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"La superficie de $market es inestable y propensa a terremotos violentos. Cualquier estructura requiere refuerzo especial, y cualquier excavacion implicara un riesgo considerable.",graphics/icons/markets/tectonic.png,26
Actividad tectonica extrema,extreme_tectonic_activity,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,La corteza de $market se agita caoticamente con terremotos extremos y episodios de vulcanismo catastrofico. Cualquier operacion exigira un cuidado excepcional y el uso de sistemas de alerta con redundancia multiple para evitar los peores peligros. La construccion en este mundo solo puede considerarse semipermanente.,graphics/icons/markets/tectonic_extreme.png,26
,,,,,,,,
,,,,,,,,
Sin atmosfera,no_atmosphere,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"$market no tiene atmosfera apreciable. Su superficie esta expuesta a la dura erosion del espacio, una llovizna constante de radiacion y micrometeoritos.",graphics/icons/markets/atmosphere_none.png,27
Atmosfera tenue,thin_atmosphere,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,Una atmosfera enrarecida se aferra con determinacion a la superficie de $market.,graphics/icons/markets/atmosphere_thin.png,27
Atmosfera toxica,toxic_atmosphere,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,La atmosfera de $market es excepcionalmente toxica y corrosiva; erosiona las superficies desprotegidas y exige el sellado hermetico de cualquier espacio habitado.,graphics/icons/markets/atmosphere_toxic.png,27
Atmosfera densa,dense_atmosphere,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"La superficie de $market esta envuelta en una atmosfera densa, con vortices turbulentos en las capas altas y una sopa asfixiante en sus cotas mas bajas. Los sensores se ven mermados, y las operaciones deben realizarse con cuidado.",graphics/icons/markets/atmosphere_dense.png,27
,,,,,,,,
,,,,,,,,
Clima templado,mild_climate,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.MildClimate,El clima de $market es acogedor y apacible; una neblina ligera saluda cada amanecer antes de replegarse en nubes suaves que resplandecen con encanto en cada ocaso.,graphics/icons/markets/climate_mild.png,28
Clima extremo,extreme_weather,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Tormentas violentas, erizadas de rayos, se desatan por los cielos de $market. Aunque son de una belleza sublime desde la orbita, generan unas condiciones superficiales tan duras que el transporte y la habitacion resultan sumamente incomodos.",graphics/icons/markets/weather_extreme.png,28
,,,,,,,,
Gravedad baja,low_gravity,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.LowGravity,"La gravedad en la superficie de $market es excepcionalmente baja, aunque muy por encima de la ingravidez. El flujo de trabajo y el manejo de maquinaria (relativamente) pesada se complican por los procedimientos no estandar que exigen las condiciones alteradas de friccion, peso y dinamica de presion.",graphics/icons/markets/gravity_low.png,24
Gravedad alta,high_gravity,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.HighGravity,"La fuerza de la gravedad en la superficie de $market es aplastante. Los humanos necesitan exoesqueletos motorizados para moverse con normalidad, y hasta las tareas mas basicas resultan agotadoras. La habitacion continuada es, en el mejor de los casos, extenuante. Todas las operaciones conllevan un riesgo elevado de caidas y, si la ingenieria especializada no se lleva a cabo con la paranoia adecuada, de colapso estructural.",graphics/icons/markets/gravity_high.png,24
,,,,,,,,
Irradiado,irradiated,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,La superficie de $market esta devastada por la radiacion. Cualquier ser vivo debe permanecer confinado en un habitat blindado para sobrevivir aqui durante un tiempo prolongado. Los circuitos no reforzados y los materiales o maquinaria a escala nanometrica tambien fallaran rapidamente en estas condiciones tan duras.,graphics/icons/markets/irradiated.png,29
,,,,,,,,
,,,,,,,,
Biosfera hostil,inimical_biosphere,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.LCAttractorLow,"La biosfera de $market es letal para los seres humanos desprotegidos. Aunque las condiciones fascinan a los cientificos biologos, los tecnicos de superficie se ven entorpecidos por estrictos protocolos de cuarentena a la hora de realizar tareas rutinarias.",graphics/icons/markets/inimical_biosphere.png,30
,,,,,,,,
Superficie cubierta de agua,water_surface,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Se trata de un mundo oceanico sin superficie solida sustancial sobre la que aterrizar, caminar o construir. Las operaciones se complican por la necesidad de formacion y equipo especializados.",graphics/icons/markets/water_covered.png,31
,,,,,,,,
Luz escasa,poor_light,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,La luz de la estrella de $market solo proporciona una iluminacion y energia debiles a este mundo.,graphics/icons/markets/poor_light.png,32
Oscuridad,dark,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"La superficie de $market esta oscura y llena de sombras, y apenas recibe iluminacion de su estrella.",graphics/icons/markets/darkness.png,32
,,,,,,,,
Impactos de meteoritos,meteor_impacts,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Este mundo es bombardeado a un ritmo espantoso por lluvias de meteoritos regulares. Cualquier habitante humano, por temporal que sea, debe mantener un ojo vigilante en el cielo. Cualquier instalacion permanente haria bien en enterrarse profundamente y fortificarse bien.",graphics/icons/markets/meteor_impacts.png,33
,,,,,,,,
,,,,,,,,
Contaminacion,pollution,,,,com.fs.starfarer.api.impl.campaign.econ.Pollution,"La industria humana ha dejado este mundo repleto de dioxinas, compuestos de azufre, ceniza y el tictac constante del polvo radiactivo en descomposicion. Restos de plastico se aferran a fragmentos de metal espumado, y el cielo esta sintonizado en un canal muerto.",graphics/icons/markets/pollution.png,110
,,,,,,,,
,,,,,,,,
Yacimientos escasos de mineral,ore_sparse,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Aqui existen algunos yacimientos minerales escasos, pero tienen mas interes academico que industrial, ya que su extraccion apenas resulta rentable.",graphics/icons/markets/ore_sparse.png,50
Yacimientos moderados de mineral,ore_moderate,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$Market contiene yacimientos minerales moderados que, en las condiciones economicas adecuadas, podrian explotarse de forma rentable.",graphics/icons/markets/ore_moderate.png,50
Yacimientos abundantes de mineral,ore_abundant,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"En $market se encuentran yacimientos minerales abundantes, extensos y extraibles de forma rentable.",graphics/icons/markets/ore_abundant.png,50
Yacimientos ricos de mineral,ore_rich,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Ricos yacimientos minerales forman una densa red en la corteza de $market, pero exigen un industrial ambicioso que los explote para obtener beneficios fabulosos.",graphics/icons/markets/ore_rich.png,50
Yacimientos ultrarricos de mineral,ore_ultrarich,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$market posee una riqueza mineral tocada por Midas, mas alla de las fantasias mas desbocadas de las legendarias megacorporaciones mineras de la era del Dominio.",graphics/icons/markets/ore_ultrarich.png,50
,,,,,,,,
,,,,,,,,
Yacimientos escasos de mineral raro,rare_ore_sparse,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Aqui existen algunos yacimientos escasos de mineral transplutonico, pero tienen mas interes academico que industrial, ya que su extraccion apenas resulta rentable.",graphics/icons/markets/rareore_sparse.png,60
Yacimientos moderados de mineral raro,rare_ore_moderate,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$Market contiene yacimientos transplutonicos modestos que, con industria e inversion sostenidas, podrian explotarse de forma rentable.",graphics/icons/markets/rareore_moderate.png,60
Yacimientos abundantes de mineral raro,rare_ore_abundant,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Abundantes yacimientos transplutonicos yacen en la corteza de $market, suficientes para alimentar las ambiciones de cualquier senor de la guerra o magnate que se precie.",graphics/icons/markets/rareore_abundant.png,60
Yacimientos ricos de mineral raro,rare_ore_rich,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Gruesas vetas de transplutonicos se extienden con gloriosa profusion por la corteza de $market, prometiendo un poder grande y potente a quien se atreva a alargar la mano y tomarlas.",graphics/icons/markets/rareore_rich.png,60
Yacimientos ultrarricos de mineral raro,rare_ore_ultrarich,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Los yacimientos transplutonicos que relucen con una densidad increible en la reticula de sensores evocan presagios de un poder capaz de forjar poderosas flotas de guerra que reduzcan mundos a cenizas... o un eon de esplendor y riqueza para una sociedad de torres de cristal, como las que existieron en los ciclos previos al Colapso del Dominio.",graphics/icons/markets/rareore_ultrarich.png,60
,,,,,,,,
