name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,baseRaidDanger,icon,sound id,sound id drop,plugin,plugin params,desc,order
Nanitos de suelo,soil_nanites,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Terraformacion Eridani-Utopia,,60000,1000,1,EXTREME,graphics/icons/cargo/soil_nanites.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,farming,"Permite el enriquecimiento y la recuperacion del suelo a un ritmo muy superior al de los procesos naturales sin ayuda. La Regulacion de Seguridad de Nanitos del Dominio 4324, subseccion 81, prohibe su uso en mundos con depositos de minerales transplutonicos o volatiles y, por desgracia, el sistema de seguridad integrado parece estar operativo.",150
Embrion de biofactoria,biofactory_embryo,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Exodyne Biotech,,120000,1000,1,EXTREME,graphics/icons/cargo/biofactory_embryo.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,lightindustry,"Se puede cultivar una vertiginosa variedad de bienes de consumo en lugar de fabricarlos. La biofactoria totalmente extruida solo prospera en el delicado equilibrio de luz solar, nutrientes del suelo y condiciones atmosfericas que un mundo habitable puede proporcionar. Los intentos de imitar estas condiciones en entornos artificiales siempre fracasan, lo que provoca que la fabrica enferme, presuntamente debido a un mecanismo de seguridad codificado geneticamente.",155
Carrete de fullereno,fullerene_spool,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Fabrica orbital,,150000,1000,1,EXTREME,graphics/icons/cargo/fullerene_spool.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"spaceport, megaport",Un cable de malla nanometrica de carbono ultra resistente que es clave para la construccion de un ascensor espacial. Mejora enormemente la eficiencia de la logistica entre la superficie de un planeta y la orbita baja.,160
Dinamo de plasma,plasma_dynamo,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Fabrica orbital,,100000,1000,1,EXTREME,graphics/icons/cargo/plasma_dynamo.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,mining,"La pieza central de un sistema industrial con bridas superconductoras que crea una red de plasma a escala planetaria, permitiendo una extraccion eficiente y espectacular de volatiles de la atmosfera de un gigante gaseoso adecuado.",165
Motor criomatematico,cryoarithmetic_engine,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Restringido por el Dominio,,200000,1000,1,EXTREME,graphics/icons/cargo/cryoarithmetic_engine.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"patrolhq, militarybase, highcommand","Un ordenador cuantico que viola la segunda ley de la termodinamica al enfriarse en lugar de calentarse mientras realiza calculos.

Una red masiva de zarcillos a escala planetaria -que terminan en disipadores de calor- se extiende por si misma, utilizando el calor para alimentar su crecimiento y la continuidad del calculo. Cuanto mas caliente este la superficie del planeta, mas eficaz sera el motor de calculo. Su capacidad de procesamiento sin parangon es una bendicion para la planificacion logistica y estrategica.",170
Replicador de drones de combate,drone_replicator,"hist3t, pather4, colony_item, codex_unlockable",Ko Combine,,60000,1000,1,EXTREME,graphics/icons/cargo/combat_drone_replicator.png,ui_cargo_special_military_pickup,ui_cargo_special_military_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"grounddefenses, heavybatteries","Produce en masa varias variantes de drones, todos adecuados para diversas tareas relacionadas con la defensa planetaria contra incursiones e invasiones, asi como para acciones de seguridad local.

Su uso fue prohibido por el Dominio muchos ciclos antes del Colapso, por lo que es sorprendente encontrar un ejemplo funcional en el Sector Perseano.",175
Holosuite Dealmaker,dealmaker_holosuite,"hist3t, pather4, colony_item, codex_unlockable",Mbaye-Gogol,,120000,1000,1,EXTREME,graphics/icons/cargo/holosuite.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,commerce,"Genera un entorno interactivo disenado para estimular las negociaciones con posibles socios comerciales. Ademas, los sistemas de sensores inteligentes de microemociones autoadaptables integrados en estas suites de RV de alta gama permiten el seguimiento en tiempo real de la veracidad de la expresion, proporcionando al operador de la instalacion una ventaja tecnica y etica en los negocios.

El material de marketing integrado se empena en recalcar que esto no es una IA, sino simplemente una sofisticada red ponderada que cumple plenamente con las regulaciones pertinentes del Dominio.",180
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# planos,,,,,,,,,,,,,,,
Paquete de planos de tecnologia basica,low_tech_package,"package_bp, codex_unlockable",,,20000,1000,1,,graphics/icons/cargo/blueprint_lowtech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,lowtech_bp,"Permite a la industria pesada construir los cascos de nave, armas y cazas LPC mas comunes de la escuela de diseno de ""baja tecnologia"".",200
Paquete de planos de tecnologia media,midline_package,"package_bp, codex_unlockable",,,25000,1000,1,,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,midline_bp,"Permite a la industria pesada construir los cascos de nave, armas y cazas LPC mas comunes de la escuela de diseno de ""tecnologia intermedia"".",210
Paquete de planos de alta tecnologia,high_tech_package,"package_bp, codex_unlockable",,,30000,1000,1,,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,hightech_bp,"Permite a la industria pesada construir los cascos de nave, armas y cazas LPC mas comunes de la escuela de diseno de ""alta tecnologia"".",220
Paquete de planos de misiles,missile_package,"package_bp, codex_unlockable",,,20000,1000,1,,graphics/icons/cargo/blueprint_missile.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,missile_bp,Permite a la industria pesada construir una gama de las armas de misiles mas comunes.,230
Paquete de planos piratas,pirate_package,"package_bp, codex_unlockable",,,15000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,pirate_bp,"Una coleccion de trucos, especificaciones de modificaciones de posventa e intentos parcialmente exitosos de recuperacion de planos corruptos. Permite a la industria pesada construir los cascos de baja calidad pero capaces de combatir que utilizan mas comunmente los piratas y otros indeseables.",240
Paquete de planos de la Senda Ludica,LP_package,"package_bp, codex_unlockable",,,18000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,LP_bp,Una coleccion de trucos y especificaciones de modificaciones de posventa que permite a la industria pesisa construir los cascos que utilizan mas comunmente los miembros de la Senda Ludica.,250
Paquete de planos de la Iglesia Ludica,LC_package,"package_bp, codex_unlockable",,,15000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,LC_bp,"Una coleccion de trucos y especificaciones de modificaciones de posventa que permite a la industria pesada construir cascos con marcas de la Iglesia Ludica. Dado que las modificaciones son de naturaleza cosmetica, los cascos producidos son, por lo demas, impecables.",260
Paquete de planos del grupo de combate XIV,XIV_package,"package_bp, no_drop, hide_in_codex",,,1000000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,XIV_bp,"Un conjunto de planos que permiten a la industria pesada producir los cascos casi legendarios empleados por el Grupo de Combate XIV, fundador de la Hegemonia. La existencia continua -y la ubicacion- de estos planos es objeto de muchos rumores.",270
Planos auxiliares de la Hegemonia,heg_aux_package,"package_bp, codex_unlockable",,,20000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,heg_aux_bp,"Una coleccion de planos modificados que elevan varias naves civiles a especificaciones militares o simplemente les anaden marcas de la Hegemonia. Creados poco despues del Colapso, algunos de estos planos mejoran el rendimiento del casco sin el aumento de la incidencia de mod de dano asociados con los posteriores intentos de hackeo de planos.",280
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Plano de nave base,ship_bp,single_bp,,,10000,1000,1,,graphics/icons/cargo/blueprint_shiphull.png,ui_chip_pickup,ui_ship_bp_drop,com.fs.starfarer.api.campaign.impl.items.ShipBlueprintItemPlugin,,Permite a la industria pesada construir los cascos de nave descritos por este plano.,300
Plano de arma base,weapon_bp,single_bp,,,2000,1000,1,,graphics/icons/cargo/blueprint_weapons.png,ui_chip_pickup,ui_weapon_bp_drop,com.fs.starfarer.api.campaign.impl.items.WeaponBlueprintItemPlugin,,Permite a la industria pesada construir las armas de nave descritas por este plano.,310
Plano de caza base,fighter_bp,single_bp,,,3000,1000,1,,graphics/icons/cargo/blueprint_fighter.png,ui_chip_pickup,ui_fighter_bp_drop,com.fs.starfarer.api.campaign.impl.items.FighterBlueprintItemPlugin,,Permite a la industria pesada construir los cazas LPC descritos por este plano.,320
,,,,,,,,,,,,,,,
Plano de industria base,industry_bp,,,,20000,1000,1,,graphics/icons/cargo/blueprint_industry.png,ui_chip_pickup,ui_industry_bp_drop,com.fs.starfarer.api.campaign.impl.items.IndustryBlueprintItemPlugin,,Contiene las especificaciones tecnologicas necesarias para construir una industria o estructura en un planeta.,400
,,,,,,,,,,,,,,,
# otros objetos,,,,,,,,,,,,,,,
Dispositivo Janus,janus,"mission_item, codex_unlockable",,,100000,1000,1,,graphics/icons/cargo/janus_device.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.JanusDevicePlugin,,"Este es el dispositivo Janus de primera generacion creado por Elissa Zal basandose en las teorias desarrolladas por Scylla Coureuse, entre otros.

Al integrarse con un hipermotor, este dispositivo permite transmitir un pulso de hiperonda sintonizado con las firmas de resonancia unicas de dos Portales a traves de la apertura de un Portal. Tras un enorme aporte de energia que requiere una gran cantidad de combustible para generarse, se crea un enlace temporal entre dichos Portales. Una nave o flota puede entonces transitar por la red de Portales.",0
Matamundos,planetkiller,"mission_item, codex_unlockable",Restringido por el Dominio,,1000000,1000,1,,graphics/icons/cargo/planetkiller.png,ui_cargo_special_military_pickup,ui_cargo_special_military_drop,com.fs.starfarer.api.campaign.impl.items.BaseSpecialItemPlugin,,"Un proyectil especializado capaz de partir un mundo. Sus principios de funcionamiento apenas se comprenden y se cree que implican el uso de la rotacion del mundo y algun tipo de resonancia.

Esta esta en modo de seguridad y requiere codigos de autorizacion, posiblemente perdidos hace mucho tiempo, para convertirse en algo mas que una pieza de maquinaria complicada pero completamente inerte.",10
Datos topograficos,topographic_data,codex_unlockable,,,50000,1000,1,,graphics/icons/cargo/hyperspace_data.png,ui_chip_pickup,ui_modspec_drop,com.fs.starfarer.api.campaign.impl.items.BaseSpecialItemPlugin,,"Este TriPad seguro contiene una base de datos reciente con escaneos y analisis detallados de la topografia del hiperespacio en el Sector Perseano, organizados segun las directrices tradicionales establecidas por el Explorarium del Dominio. Datos como este son un elemento esencial para el exito de las expediciones fuera de los mundos centrales.",500
Ancla de agujero de gusano,wormhole_anchor,codex_unlockable,Restringido por el Dominio,,150000,1000,1,,graphics/icons/cargo/wormhole_anchor.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.WormholeAnchorPlugin,,"Tecnologia desconocida en el actual Sector Perseano, utilizada por el Explorarium del Dominio durante una era de grandeza ya pasada. Puede usarse para crear un termino de agujero de gusano en una ubicacion estable.

La activacion inicial requiere antimateria en forma de combustible para naves estelares. Requiere al menos otro termino activo y sincronizado para su uso.",1
Escaner de agujeros de gusano,wormhole_scanner,"mission_item, codex_unlockable",Restringido por el Dominio,,100000,1000,1,,graphics/icons/cargo/wormhole_scanner.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.WormholeScannerPlugin,,"Un artefacto de la era del Dominio que permite a una flota navegar por un agujero de gusano natural, siguiendo sus multiples giros, curvas y desplazamientos a traves de dimensiones superiores. Una flota que entre en un agujero de gusano sin un escaner no volveria a verse jamas, al menos no como un conjunto coherente de materia barionica.

Los principios de funcionamiento solo pueden intuirse vagamente dado el estado actual de la tecnologia en el Sector Perseano.",2
Fabricador de fragmentos,fragment_fabricator,"threat, codex_unlockable",La Amenaza,,20000,1000,1,,graphics/icons/cargo/fragment_fabricator.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.BaseSpecialItemPlugin,,"Tecnologia desconocida que, no obstante, comparte principios de diseno con los antiguos estandares de ingenieria del Dominio. Diversos adaptadores automodificables aceptan entrada de energia y materia prima de forja. No dispone de interfaz de mando. Cualquier intento de interferir con su funcionamiento provoca mecanismos de autorreparacion agresivos que canibalizan el entorno; un intento serio de desmantelar la unidad conllevaria el riesgo de autodestruccion.

Es claramente un fabricador, ya que, al suministrar los insumos, produce unidades Fragment, cada una de las cuales esta formada por una disposicion unica de componentes fractales, pero que son funcionalmente similares, con una ligera variacion de escala. Simples a nivel individual, los fragmentos exhiben un comportamiento emergente sofisticado cuando actuan en grupo.",400
Unidad de procesamiento de amenazas,threat_processing_unit,"threat, codex_unlockable",La Amenaza,,15000,1000,1,,graphics/icons/cargo/threat_processing_unit.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.BaseSpecialItemPlugin,,"Una unidad computacional basica y modular. Parecen emplearse en grandes cantidades para dar soporte a las diversas funciones de las naves de la Amenaza. No se comprenden del todo, pero claramente estan muy por debajo del umbral para ser consideradas una inteligencia artificial de cualquier nivel.",401
Sustrato velado,shrouded_substrate,"monster, codex_unlockable",Habitante oculto,,5000,1000,1,,graphics/icons/cargo/shrouded_substrate.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,com.fs.starfarer.api.campaign.impl.items.ShroudedSubstratePlugin,,"Materia exotica anomala mantenida en un estado de estasis semiestable mediante unidades de contencion improvisadas. Se recomienda emplear protocolos de manipulacion de materiales peligrosos de clase 6, 7, 9 y 13. Una investigacion superficial sugiere aplicaciones en la proyeccion de energia.",450
Thunderhead velado,shrouded_thunderhead,"monster, codex_unlockable",Habitante oculto,,30000,1000,1,,graphics/icons/cargo/shrouded_thunderhead.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,com.fs.starfarer.api.campaign.impl.items.ShroudedHullmodItemPlugin,shrouded_thunderhead,"""Esta accion autosostenible produce diferenciales de energia masivos que se descargan periodicamente hacia su, este... objetivo. Nunca habria dicho que una tormenta pudiera ser malvada, pero ahora...""

- registro de audio interceptado, emisor desconocido",451
Manto velado,shrouded_mantle,"monster, codex_unlockable",Habitante oculto,,50000,1000,1,,graphics/icons/cargo/shrouded_mantle.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,com.fs.starfarer.api.campaign.impl.items.ShroudedHullmodItemPlugin,shrouded_mantle,"""No podemos almacenar energia para siempre en este plasma teorico y fingido. Tendra que ir a alguna parte"".

""-Invierte la polaridad de los convertidores de flujo y parpadea el campo de propulsion. Pum!, un ligero bache en el espacio-tiempo local. Con lo que me refiero es a la propia nave"".

""Si es que funciona"".",452
Lente velada,shrouded_lens,"monster, codex_unlockable",Habitante oculto,,30000,1000,1,,graphics/icons/cargo/shrouded_lens.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,com.fs.starfarer.api.campaign.impl.items.ShroudedHullmodItemPlugin,shrouded_lens,"""Hazlo girar durante las maniobras de combate, ajustando la frecuencia de las ""sondas"" adaptadas de los estabilizadores del campo de propulsion. Crearia fracturas en el hiperespacio que causarian danos terribles a las estructuras del espacio-n. Las naves estelares, por ejemplo"".",453
