name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
MRM Harpoon (doble),harpoon_single,0,,100,2500,,750,,15,30,2,2,,,HIGH_EXPLOSIVE,0,,0,10,1,,0,0,0,,,300,100,12.5,150,,,DO_NOT_AIM,"missile6, strike1, base_bp, ind",,,,Remate,Media,Medio,,,,,,,TRUE,11.6125
Breach SRM,breach,1,,200,1500,,150,,15,10,3,15,,,HIGH_EXPLOSIVE,0,,0,9,3,0.5,0,0,0,,,400,50,5,450,,,"DO_NOT_AIM, CONSERVE_ALL, CONSERVE_FOR_ANTI_ARMOR, DIRECT_AIM, MISSILE_SPREAD","missile7, base_bp, merc, ind",,,,Antiblindaje,Rapida,Bueno,,,Cada misil inflige un %s de dano adicional al blindaje. Este dano no se reduce por el blindante.,250,,,TRUE,11.7
SRM Sabot,sabot,1,,200,1200,,100,,15,30,4,3,,,KINETIC,0,,0,1,1,,0,0,0,0,,150,50,8,300,,,GUIDED_POOR,"missile8, strike2, missile_bp, merc, ind",,,,Anti escudos,Lenta,Pobre,,,"Los impactos de la submunicion en el casco o el blindaje tienen una probabilidad del %s de derivar hacia armas y motores, infligiendo %s de dano de PEM.",25% | 200,,,TRUE,11.75
SRM Sabot (Doble),sabot_single,0,,100,1200,,100,,15,30,2,2,,,KINETIC,0,,0,10,1,,0,0,0,0,,150,50,8,300,,,GUIDED_POOR,"missile6, strike0, base_bp, ind",,,,Anti escudos,Lenta,Pobre,,,"Los impactos de la submunicion en el casco o el blindaje tienen una probabilidad del %s de derivar hacia armas y motores, infligiendo %s de dano de PEM.",25% | 200,,,TRUE,11.85
"SRM Sabot (unico, caza)",sabot_fighter,0,,100,1200,,100,,15,30,1,1,,,KINETIC,0,,0,1,1,,0,0,0,0,,150,50,8,300,,,"GUIDED_POOR, SYSTEM","missile6, strike0, show_in_codex",,,,Antiescudos (caza),Lenta,Pobre,,,"Los impactos de la submunicion en el casco o el blindaje tienen una probabilidad del %s de derivar hacia armas y motores, infligiendo %s de dano de PEM.",25% | 200,,,TRUE,11.85
DEM SRM Gorgon,gorgon,1,,250,1500,,800,,15,30,4,4,,,ENERGY,0,,0,4,1,,0,0,0,0,,300,75,6,250,,,DO_NOT_AIM,"missile8, strike4, merc, rare_bp, damage_special, damage_soft_flux",,,,Asalto / Rematador,Media,Bueno,,,"El misil dispara un laser de alta potencia al acercarse al objetivo, infligiendo aproximadamente %s de dano de energia en una breve rafaga. Este dano se ve afectado por los modificadores de dano de misiles y no por los de armas de energia.",800,,,TRUE,11.9
    Gorgon - Carga util,gorgon_payload,1,,0,700,800,,,,30,0,,,,ENERGY,0,,0.05,0.25,0.9,0.5,,,,,1000000,,,,,,,"SYSTEM, DANGEROUS",fires_one_burst,,,,,,,,,,,,,,11.91
DEM SRM Gazer,gazer,2,,250,1200,,200,,15,30,4,6,,,KINETIC,0,,0,15,1,,0,0,0,0,,150,25,5,250,,,DO_NOT_AIM,"missile6, merc, rare_bp, damage_special, damage_soft_flux",,,,Supresion,Lenta,Bueno,,,"El misil dispara un rayo gravitatorio al objetivo, infligiendo aproximadamente %s de dano cinetico durante %s segundos. Este dano se ve afectado por los modificadores de dano de misiles y no por los de armas de energia.",1000 | 10,,,TRUE,11.94
    Gazer - Carga util,gazer_payload,2,,0,1000,100,,,20,30,0,,,,KINETIC,0,,0.1,0.1,10,0.5,,,,,2400,,,,,,,SYSTEM,,,,,,,,,,,,,,,11.95
Contenedor MRM Harpoon,harpoonpod,1,,1200,2500,,750,,15,10,10,12,,,HIGH_EXPLOSIVE,0,,0,8.25,4,0.25,0,0,0,,,300,100,12.5,150,,,DO_NOT_AIM,"missile12, strike9, missile_bp, merc, ind",,,,Remate,Media,Medio,,,,,,,TRUE,12
Torpedo DEM Dragonfire,dragon,2,,2000,2000,,4000,,15,20,10,2,,,ENERGY,0,,0,10,1,,0,0,0,0,,150,0,12.5,600,,,"DO_NOT_AIM, STRIKE","strike8, missile3, merc, rare_bp, damage_special, damage_soft_flux",,,,Torpedo,Lenta,Bueno,,,"El misil dispara un laser de alta potencia al acercarse al objetivo, infligiendo aproximadamente %s de dano de energia en una breve rafaga. Este dano se ve afectado por los modificadores de dano de misiles y no por los de armas de energia.",4000,,,TRUE,12.11
    Dragonfire - Carga util,dragon_payload,2,,0,1000,8000,,,,20,0,,,,ENERGY,0,,0,0.75,0.25,0.5,,,,,1000000,,,,,,,"SYSTEM, DANGEROUS",fires_one_burst,,,,,,,,,,,,,,12.12
Contenedor SRM Gorgon,gorgonpod,1,,1300,1500,,800,,15,10,10,16,,,ENERGY,0,,0,9.5,2,0.5,0,0,0,0,,300,75,6,250,,,DO_NOT_AIM,"missile12, strike9, merc, rare_bp, damage_special, damage_soft_flux",,,,Asalto / Rematador,Media,Bueno,,,"Cada misil dispara un laser de alta potencia al acercarse al objetivo, infligiendo aproximadamente %s de dano de energia en una breve rafula. Este dano se ve afectado por los modificadores de dano de misiles y no por los de armas de energia.",800,,,TRUE,12.2
Modulo SRM Gazer,gazerpod,2,,1300,1200,,200,,15,10,9,18,,,KINETIC,0,,0,14.5,2,0.5,0,0,0,0,,150,25,5,250,,,DO_NOT_AIM,"missile12, merc, rare_bp, damage_special, damage_soft_flux",,,,Supresion,Lenta,Bueno,,,"Cada misil dispara un rayo gravitatorio al objetivo, infligiendo aproximadamente %s de dano cinetico durante %s segundos. Este dano se ve afectado por los modificadores de dano de misiles y no por los de armas de energia.",1000 | 10,,,TRUE,12.21
Contenedor SRM Breach,breachpod,1,,1200,1500,,150,,15,10,10,50,,,HIGH_EXPLOSIVE,0,,0,9,5,0.25,0,0,0,,,400,50,5,450,,,"DO_NOT_AIM, CONSERVE_ALL, CONSERVE_FOR_ANTI_ARMOR, DIRECT_AIM, MISSILE_SPREAD","missile13, rare_bp, merc, ind",,,,Antiblindaje,Rapida,Bueno,,,Cada misil inflige un %s de dano adicional al blindaje. Este dano no se reduce por el blindante.,250,,,TRUE,12.25
Modulo SRM Sabot,sabotpod,1,,1200,1200,,100,,15,10,10,12,,,KINETIC,0,,0,8.75,2,0.25,0,0,0,0,,150,50,8,300,,,GUIDED_POOR,"missile13, strike8, rare_bp, merc, ind",,,,Anti escudos,Lenta,Pobre,,,"Los impactos de la submunicion en el casco o el blindaje tienen una probabilidad del %s de derivar hacia armas y motores, infligiendo %s de dano de PEM.",25% | 200,,,TRUE,12.31
Contenedor MRM Salamander,salamanderpod,1,,1200,2000,,100,1500,15,10,6,,,,FRAGMENTATION,0,,0,25,2,0.25,0,0,0,,,400,50,15,150,,,"DO_NOT_AIM, HEATSEEKER","utility13, missile_bp, merc, ind",,,,Anti motores,Rapida,Excelente,,,,,,,TRUE,12.32
Contenedor de cohetes Annihilator,annihilatorpod,0,,1200,1500,,200,,5,30,10,100,,,HIGH_EXPLOSIVE,0,,0,0.5,1,,0,0,0,0,,400,50,3.75,50,,,,"rocket13, strike8, missile_bp, merc, ind",,,,Presion,Rapida,Ninguno,,,,,,,,12.33
Lanzador LRM Pilum,pilum,0,,900,4000,,500,500,25,10,7,30,0.1,,FRAGMENTATION,0,,0,15,3,0.4,0,0,0,0,,125,100,30,150,,,"DO_NOT_AIM, CONSERVE_1","utility13, missile7, missile_bp, merc, ind",,,,Apoyo de largo alcance,Muy lento,Muy deficiente,,,"Los impactos de la segunda etapa en los escudos tienen la posibilidad de derivar hacia armas y motores, infligiendo %s de dano de PEM. La probabilidad de atravesar los escudos se basa en el nivel de flujo duro del objetivo.",500,,,,12.5
Lanzador de cargas de proximidad,phasecl,2,,1500,1000,,500,,25,30,12,50,,,HIGH_EXPLOSIVE,0,,0,2,1,,20,20,0,0,,100,400,4,500,,,ANTI_FTR,"utility8, rare_bp, merc, ind",,,,Presion / Anti cazas,Muy lento,Ninguno,,,"No se ve afectado por los modificadores de velocidad, aceleracion y tiempo de vuelo de los misiles.",,,,TRUE,13
Lanzador de carga de proximidad (Caza),phasecl_bomber,2,,1500,2000,,500,,25,30,12,6,,,HIGH_EXPLOSIVE,0,,0,1.5,1,,0,0,0,0,,100,200,12,500,,,"SYSTEM,STRIKE,BOMB","utility8, show_in_codex",,,,Ataque (caza),Muy lento,Ninguno,,,,,,,TRUE,13.5
Martillo,jackhammer,0,,1000,1200,,1500,,30,20,6,6,,,HIGH_EXPLOSIVE,0,,0,9.5,3,0.25,10,10,0,0,,500,40,4,350,,,STRIKE,"strike10, rocket5, ind, missile_bp, merc",,,,Torpedo,Rapida,Ninguno,,,,,,,TRUE,13.75
Lanzador de segadores Typhoon,typhoon,1,,1200,1200,,4000,,75,20,10,6,,,HIGH_EXPLOSIVE,0,,0,15,1,,0,0,0,0,,400,100,3.5,500,,,STRIKE,"strike13, rocket8, missile_bp, merc, ind",,,,Torpedo,Rapida,Ninguno,,,,,,,TRUE,14
Lanzador de segadores Cyclone,cyclone,2,,5000,1200,,4000,,75,20,26,14,,,HIGH_EXPLOSIVE,0,,0,14.75,2,0.25,0,0,0,0,,400,400,3.5,500,,,STRIKE,"strike18, rocket14, rare_bp, merc, ind",,,,Torpedo,Rapida,Ninguno,,,Un sistema de refuerzo acelera el torpedo hasta su velocidad maxima antes de salir del tubo de lanzamiento.,,,,TRUE,15
Catapulta LRM Pilum,pilum_large,1,,1500,4000,,500,500,25,10,14,30,0.33333,6,FRAGMENTATION,0,,0,9,6,0.2,0,0,0,0,,125,200,30,150,,,"DO_NOT_AIM, DO_NOT_CONSERVE","utility15, missile14, rare_bp, merc, ind",,,,Apoyo de largo alcance,Muy lento,Muy deficiente,,,"Los impactos de la segunda etapa en los escudos tienen la posibilidad de derivar hacia armas y motores, infligiendo %s de dano de PEM. La probabilidad de atravesar los escudos se basa en el nivel de flujo duro del objetivo.",500,,,,15.5
Lanzador MIRV Hurricane,hurricane,1,,4500,2500,,500,,50,10,25,10,,,HIGH_EXPLOSIVE,0,,0,15,1,,0,0,0,0,,250,50,12,350,,,"DO_NOT_AIM, CONSERVE_5","missile18, strike15, rare_bp, hist1t, merc, ind",,,,Remate,Media,Bueno,,,,,,,TRUE,16
Contenedor de torpedos Dragonfire,dragonpod,2,,7000,2000,,4000,,15,20,25,5,,,ENERGY,0,,0,15,1,,0,0,0,0,,150,0,12.5,600,,,"DO_NOT_AIM, STRIKE","strike18, missile15, merc, rare_bp, damage_special, damage_soft_flux",,,,Torpedo,Lenta,Bueno,,,"El misil dispara un laser de alta potencia al acercarse al objetivo, infligiendo aproximadamente %s de dano de energia en una breve rafaga. Este dano se ve afectado por los modificadores de dano de misiles y no por los de armas de energia.",4000,,,TRUE,16.01
Lanzador MDEM Hydra,hydra,2,,5000,2500,,1500,,50,10,20,15,,,ENERGY,,,0,10,1,,0,0,0,0,,300,75,7,400,,,"DO_NOT_AIM, CONSERVE_5","missile18, strike10, rare_bp, merc, damage_special, damage_soft_flux",,,,General,Media,Excelente,,,El misil se divide en %s submuniciones que intentan flanquear al objetivo. Cada una dispara luego un laser de alta potencia que inflige aproximadamente %s de dano de energia en una breve rafaga. Este dano se ve afectado por los modificadores de dano de misiles y no por los de armas de energia.,6 | 500,,,TRUE,16.05
    Hydra - Carga util,hydra_payload,2,,0,700,500,,,,30,0,,,,ENERGY,0,,0.05,0.25,0.9,0.5,,,,,1000000,,,,,,,SYSTEM,,,,,,,,,,,,,,,16.06
MLRS Squall,squall,2,,4000,2500,,100,,15,20,20,160,,,KINETIC,0,,0,10,20,0.5,0,0,0,0,,600,100,4.75,150,,,"DO_NOT_AIM, CONSERVE_3, STRIKE, USE_VS_FRIGATES, MISSILE_SPREAD","missile19, strike15, rare_bp, merc, ind",,,,Supresion,Muy rapido,Especial,,,"Sin guia tras una breve fase inicial de apuntado. Al impactar en los escudos, una unidad resonadora se activa para aumentar el dano base en un %s.",150,,,,16.2
Lanzador SRM Locust,locust,1,,4000,1400,,200,,5,30,18,600,,,FRAGMENTATION,0,,0,5,30,0.1,0,0,0,0,,400,100,6,60,,,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","utility18, missile15, rare_bp, hist1t, merc, ind",,,,Anti naves pequenas,Rapida,Excelente,,,,,,,,16.3
Rafaga Hammer,hammerrack,0,,1250,1200,,1500,,30,10,16,20,,,HIGH_EXPLOSIVE,0,,0,5,4,0.15,0,0,0,0,,500,40,4,350,,,STRIKE,"strike16, rocket14, missile_bp, merc, ind",,,,Torpedo,Rapida,Ninguno,,,,,,,TRUE,16.4
Laser de prospeccion,mininglaser,0,,100,600,30,,,0,80,1,,,,ENERGY,,10,0,0.25,,,,,,,2400,,,,,,,PD,"beam0, energy0, pd0, base_bp, ind",,,,Defensa de punto,,,,,,,,,,16.5
Laser de DP,pdlaser,1,,200,500,75,,,0,100,3,,,,ENERGY,,40,0,0.25,,,,,,,2400,,,,,,,PD,"pd7, beam7, SR, hightech_bp, midline_bp, merc, ind",,,,Defensa de punto,,,,,,,,,,17
Laser tactico,taclaser,1,,200,1000,75,,,0,20,4,,,,ENERGY,,60,0.1,0.1,,,,,,,2400,,,,,,,,"beam9, LR, hightech_bp, midline_bp, merc, ind",,,,General,,,,,,,,,,18
Canon de iones,ioncannon,2,,500,500,,25,400,0,40,6,,,,ENERGY,30,,0.5,0,,,,,,,,1000,,,,,,,"energy8, hightech_bp, merc, ind",,,,Supresion,,,,,"Los impactos en el casco o el blindaje tienen un %s de probabilidad de derivar hacia armas y motores, infligiendo un dano adicional igual al impacto original.",25%,,,,19
"Canon de iones (Retraso alto, Caza)",ioncannon_fighter,2,,500,500,,25,400,0,40,6,,,,ENERGY,30,,0.5,0.5,,,,,,,,1000,,,,,,SYSTEM,"energy8, show_in_codex",,,,Supresion (caza),,,,,"Los impactos en el casco o el blindaje tienen un %s de probabilidad de derivar hacia armas y motores, infligiendo un dano adicional igual al impacto original.",,,,,19.1
Laser de pulso IR,irpulse,1,,250,500,,50,,0,50,5,,,,ENERGY,40,,0.333333,0,,,,,,,,1000,,,,,,,"energy8, hightech_bp, merc, ind",,,,General,,,,,,,,,,19.25
"Laser de pulso IR (Retraso alto, Caza)",irpulse_fighter,1,,250,500,,50,,0,50,5,,,,ENERGY,50,,0.333333,0.333333,,,,,,,,1000,,,,,,SYSTEM,"energy8, show_in_codex",,,,General (caza),,,,,,,,,,19.3
Laser de DP LR,lrpdlaser,2,,400,800,50,,,0,100,4,,,,ENERGY,,30,0,0.25,,,,,,,3600,,,,,,,PD,"pd7, beam5, hightech_bp, midline_bp, merc, ind",,,,Defensa de punto,,,,,,,,,,19.5
Laser de DP de rafaga,pdburst,2,,600,500,350,,,0,100,6,4,0.5,,ENERGY,,200,0.1,0.1,0.3,0.1,,,,,10000,,,,,,,"PD,ANTI_FTR","pd9, beam6, rare_bp, merc, ind",,,,Defensa de punto,,,,,,,,,,19.6
"Laser de DP de rafaga (Retraso alto, Caza)",pdburst_fighter,2,,600,500,110,,,0,100,6,4,0.5,,ENERGY,,100,0.1,0.1,0.8,0.1,,,,,10000,,,,,,,"PD,ANTI_FTR,SYSTEM","pd9, beam6, show_in_codex",,,,Defensa de punto (caza),,,,,,,,,,19.7
Blaster de antimateria,amblaster,3,0.7,900,400,,1400,,0,30,9,20,,,ENERGY,1500,,0.25,10,,,0,0,0,0,,1000,,,100,,,"STRIKE, USE_VS_FRIGATES, GROUP_ALTERNATING","strike10, rare_bp, hist1t, merc, ind",SR_strike_only,,,Bombardeo,,,,,,,,,,19.75
