id,name,order,tier,reqPoints,reqPointsPerExtraSkill,description,author,combat officer,admiral,admin,tags,icon,
sensors,Sensores,1010,1,0,0,"Te veo, pececito!","Bufer de comunicaciones de la ISS Green Flash, recuperado en orbita de Beta Zuma B",,,,,graphics/icons/skills/sensors.png,
gunnery_implants,Implantes de artilleria,1020,2,1,0,"Con el tiempo, la realidad aumentada que presentan los implantes puede volverse dificil de distinguir de la entrada sensorial normal. El oficial de psicologia debera comprobar regularmente si los artilleros presentan signos de trastorno disociativo por aumentos segun los siguientes criterios...",Un nuevo marco de liderazgo: manual para oficiales de la Hegemonia,TRUE,,,,graphics/icons/skills/gunnery_implants.png,
energy_weapon_mastery,Maestria en armas de energia,1030,2,1,0,"El ojo de un angel fue hallado en los lugares pequenos, oculto alli por el Dios misericordioso en los primeros momentos de la creacion. Asi, sus secretos quedaron al descubierto para que los ignorantes y crueles desataran una terrible y ardiente ira. Nos lamentamos.",Textos sagrados de Ludd,TRUE,,,energy_weapons,graphics/icons/skills/energy_weapon_mastery.png,
electronic_warfare,Guerra electronica,1040,4,2,0,"err. 401 // conexion rechazada [reintentar?]
err. 401 // conexion rechazada [reintentar?]
err. 401 // conexion rechazada [reintentar?]","Celadon Immeasurable, alfa",,TRUE,,,graphics/icons/skills/EW.png,
flux_regulation,Regulacion de flujo,1060,4,2,0,"ADVERTENCIA: Al cambiar estos ajustes, el usuario exime de toda responsabilidad a la corporacion Tri-Tachyon por cualquier dano en el equipo, lesion, muerte o cualquier otro efecto anomalo en el espacio-tiempo que pudiera derivarse. Desea continuar?","Corporacion Tri-Tachyon, licencia estandar",,TRUE,,,graphics/icons/skills/flux_dynamics.png,
cybernetic_augmentation,Aumento cibernetico,1080,5,4,2,No escuches a esos lloricas de la criptoludita del comite de etica; la tasa de rechazo no se acerca ni de lejos a lo que dicen los rumores.,"""Doctor"" Wyatt Cydonia (alias), interceptacion de COMSEC",,TRUE,,,graphics/icons/skills/cybernetic_augmentation.png,
phase_corps,Ajuste de bobinas de fase,1070,4,2,0,"Tri-Tachyon profana la creacion sagrada a diario, y con cada profanacion se vislumbra nuestra condenacion colectiva. Nuestra senda es carga; nuestra senda es sufrimiento. Los enfrentaremos con la fe de que la unica redencion es el juicio final.","Livewell Cotton, terrorista de la Senda Ludica, sermon de c205.2.12",,TRUE,,,graphics/icons/skills/phase_corps.png,
special_modifications,Modificaciones especiales,1080,5,,,"Los del Dominio, oh, disenaron sus cosas para que duraran, es cierto. Pero con tanta vida comoda, se nota que les daba miedo llevar estas cosas a sus verdaderos limites.","Luna Hexagen, ingeniera independiente, ciudad de Agreus",,,,"npc_only, deprecated",graphics/icons/skills/special_modifications.png,
neural_link,Enlace neural,1075,4,2,0,Por que deberia un capitan hundirse con su nave? La corporacion Tri-Tachyon no desperdicia el mejor talento.,"Vicepresidenta de Operaciones Nereid De Jong en la ceremonia de presentacion del ""Proyecto Heket""",,,,,graphics/icons/skills/neural_link.png,
automated_ships,Naves automatizadas,1090,5,4,2,[REDACTADO],COMSEC de la Hegemonia,,,,,graphics/icons/skills/automated_ships.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
# INDUSTRY,,,,,,,,,,,,,
bulk_transport,Transporte de carga masiva,1500,1,0,,"No puedes escapar de la economia mas de lo que puedes escapar de la gravedad. Nos rodea, nos contiene, nos eleva. Una vez unio la galaxia, y lo hara de nuevo.","Artemisia Sun, informe anual c203",,,,,graphics/icons/skills/bulk_transport.png,
salvaging,Rescate,1510,1,0,,"Me hace sentir muy pequeno, como si fueramos alimanas saqueando las ciudades de angeles caidos.
Y tambien me hace rico.","Zion Hurst, oficial de la Cofradia de Rescate de Asher",,,,,graphics/icons/skills/salvaging.png,
field_repairs,Reparaciones de campo,1520,1,0,,No hay nadie en veinte luces de aqui que no tenga una calavera y tibias cruzadas grabada en su casco. Solo tenemos nuestra habilidad y lo que encontremos en ese campo de escombros para salir de aqui.,"Callisto Ibrahim, registro de expedicion c202.10.15",,,,,graphics/icons/skills/field_repairs.png,
ordnance_expert,Experto en armamento,1530,3,1,,Los debiles temen la potencia espiritual de la maquina de matar. Los fuertes reconocen instintivamente su belleza.,Citas del ejecutor supremo,TRUE,,,,graphics/icons/skills/ordnance_expert2.png,
polarized_armor,Blindaje polarizado,1540,3,1,,"Los manuales de antes del Colapso dicen que nunca se debe hacer esto... No, no lo se. No he tenido problemas hasta ahora.","Jefa de ingenieria Kasi Thea-Radiative, entrevista oculta en holocamara",TRUE,,,,graphics/icons/skills/polarized_armor.png,
containment_procedures,Procedimientos de contencion,1550,4,2,,Revisa cada sello tres veces para que la Muerte no venga a por ti.,Tradicion espacial,,,,,graphics/icons/skills/containment_procedures.png,
makeshift_equipment,Equipo improvisado,1560,4,2,,Supongo que dejamos los repuestos en orbita. Todo ira bien... [estatica]... solo observa.,"Transcripcion de audio de respaldo, Jericho Wheeler, lider de la expedicion ""equipo H""",,,,,graphics/icons/skills/makeshift_equipment.png,
industrial_planning,Planificacion industrial,1570,4,2,,"Un mundo esteril pero prometedor, bien situado para convertirse en el centro de cultura e industria de Magec. Los modelos de SIE proyectan una inversion masiva en la explotacion de recursos desde el Disco de Guayota.","Memorando de desarrollo estrategico de Tri-Tachyon, previo al Colapso",,,TRUE,,graphics/icons/skills/industrial_planning.png,
derelict_contingent,Operaciones de pecios,1590,5,4,2,"Creen que somos basura, los ejecutivos y almirantes en sus relucientes naves estelares. Nos desecharon en el segundo en que todo salio mal. Pero somos nosotros sobre los que se construyo el Sector, y somos nosotros los que los derribaremos.","Agitador pirata anonimo, senal de vigilancia de HEGINT ",,TRUE,,player_only,graphics/icons/skills/derelict_contingent.png,
hull_restoration,Restauracion de casco,1580,5,4,2,No hay casco que un verdadero espacial no pueda convertir en su hogar.,"Sol Secondshift, veterano de rescate",,,,,graphics/icons/skills/recovery_ops.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
# Misc non-player,,,,,,,,,,,,,
omega_ecm,Omega EW,10000,0,,,,,,,,npc_only,graphics/icons/skills/EW.png,
hypercognition,Hipercognicion,10001,0,,,"Una maquina sin limites a la que se le entrega cada dato, cada pensamiento humano para combinar y recombinar en variantes incontables. Pregunta, y se producira una respuesta apropiada.
Sin embargo, no me convence que el hecho de ser enganado demuestre una proposicion tan grandiosa.","""El largo camino hacia Gilead"", por Anonimo",,,TRUE,"npc_only, ai_core_only, codex_unlockable",graphics/icons/skills/hypercognition.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"# removed in 0.95.1a, but kept around for save compatibility",,,,,,,,,,,,,
space_operations,Operaciones espaciales,590,5,4,2,En el cielo de cada mundo se ven las mismas estrellas.,Carta fundacional de la Liga Perseana,,,,"npc_only, deprecated",graphics/icons/skills/space_ops.png,
planetary_operations,Operaciones terrestres,600,5,4,2,"El barro? No me importa. Los espaciales siempre se quejan del barro.
Lo que no soporto es la sangre.","Griffin Sweet, mercenario espacial",,,,"npc_only, deprecated",graphics/icons/skills/planetary_ops.png,
colony_management,Gestion de colonias,1590,5,4,2,"Donde hay vida, ahi esta el trono de Dios, y todo lo bueno puede encontrarse alli.",Textos sagrados de Ludd,,,,"npc_only, deprecated",graphics/icons/skills/colony_management.png,
strike_commander,Comandante de incursion,20,1,0,,Volaras y sera una tormenta como nunca han conocido. Eres un rayo que ha venido a partir el mismisimo cielo!,"Navarca Mars Kato, discurso ante las tripulaciones de bombarderos del Sirocco
",TRUE,,,"carrier, spec, npc_only, deprecated",graphics/icons/skills/strike_commander.png,
ranged_specialization,Especializacion en combate a distancia,60,3,0,,Ves esta solucion de tiro? Hara que los algoritmos defensivos reaccionen de forma exagerada en el momento menos oportuno. El truco es que tienen que verlo venir.,"CPO Cameron Fourth-Phobos, instructor destinado al campo de tiro de Coatl",TRUE,,,"spec, npc_only, deprecated",graphics/icons/skills/ranged_specialization.png,
shield_modulation,Modulacion de escudos,70,4,0,,"Pocos tienen talento para lo que me gusta llamar ""sintonizacion activa"". Creo que los musicos son los mejores oficiales de escudos.","Ardis Soloman, datos filtrados enviados al algoritmo de censura de COMSEC",TRUE,,,"npc_only, deprecated",graphics/icons/skills/defensive_systems.png,
phase_mastery,Maestria en fase,80,4,0,,"No voy a volver a subir a esa nave, nunca.","Registro de consejo de guerra, [CENSURADO], con fecha de ~c196?",TRUE,,,"phase, spec, elite_player_only, npc_only, deprecated",graphics/icons/skills/phase_mastery.png,
reliability_engineering,Ingenieria de fiabilidad,1530,2,0,,"Al final, por el tiempo y la radiacion, mi cuerpo morira. Mis camaradas me devolveran a las estrellas que me crearon, y mi nave seguira adelante.",Tradicion espacial,TRUE,,,"npc_only, deprecated",graphics/icons/skills/reliability_engineering.png,
weapon_drills,Ejercicios de armamento,500,1,0,,"Que detuvo la trama de Tri-Tachyon? (Los canones!)
Que fue lo que el viejo Ludd olvido? (Los canones!)
Que tenemos nosotros que ellos no? (Canones, grandes, grandes!)",Cancion de taberna de la armada de la Hegemonia,,,,"npc_only, deprecated",graphics/icons/skills/weapon_drills.png,
auxiliary_support,Apoyo auxiliar,510,1,0,,Sin reservas? Mira a tu alrededor! Hay mil naves capaces de operar en el espacio en los astilleros civiles y mil millones de ciudadanos en las arcologias. Solo necesitamos abrir los almacenes y darles armas antes de que llegue la invasion.,Baikal Daud en la defensa de Chicomoztoc,,,,"npc_only, deprecated",graphics/icons/skills/auxiliary_support.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#combat_endurance,Resistencia en combate,0,1,,,"Mediante la experiencia y la planificacion, un oficial veterano tiene la capacidad de prolongar el tiempo de combate efectivo de la nave y la tripulacion durante las condiciones extremas de un despliegue de combate.",Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/combat_endurance2.png,
,,,,,,,,,,,,,
#ordnance_expert,Experto en armamento,10,2,,,Un conocimiento detallado de las caracteristicas operativas y los protocolos de mantenimiento de los armamentos puede aplicarse para lograr un mayor rendimiento en combate.,Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/ordnance_expert.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,"
"
#defensive_systems,Sistemas defensivos,37.5,4,,,El conocimiento profundo de las interacciones entre la red electrica de la nave y sus sistemas defensivos puede producir mejoras cualitativas en las caracteristicas operativas.,Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/defensive_systems.png,
#advanced_countermeasures,Contramedidas avanzadas,39,4,,,La atencion al detalle y el mantenimiento regular pueden permitir que los diversos sistemas defensivos de un casco destaquen en su funcion.,Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/advanced_countermeasures.png,
#evasive_action,Accion evasiva,40,5,,,"Aunque el fuego entrante no pueda evitarse por completo, el piloto suele tener la opcion de decidir donde recibe el dano, lo que puede resultar en una reduccion del impacto de las heridas.",Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/evasive_maneuvering.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#command_and_control,Mando y control,90,1,,,"La experiencia ganada con esfuerzo, asi como el estudio minucioso de manuales tacticos e informes de batalla, permiten al comandante formular y ejecutar planes de batalla mas avanzados.",Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/advanced_tactics.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#fighter_doctrine,Doctrina de cazas,130,3,,,"Las naves de transporte y los escuadrones de caza tienen un conjunto de requisitos muy distintos al de las naves regulares, y un comandante de flota experimentado puede marcar la diferencia proporcionando el apoyo adecuado.",Lorem Ipsum,,,,"carrier, npc_only, deprecated",graphics/icons/skills/fighter_doctrine.png,
#carrier_command,Mando de portaaviones,135,3,,,"Los escuadrones de caza y sus tripulaciones tienen requisitos muy especializados, y un capitan experimentado puede marcar la diferencia proporcionando el apoyo adecuado.",Lorem Ipsum,TRUE,,,"carrier, npc_only, deprecated",graphics/icons/skills/carrier_command.png,
#wing_commander,Comandante de escuadron,140,4,,,"Entrenamientos rigurosos, personal seleccionado y una camaraderia forjada en la adversidad pueden convertir a un grupo desorganizado de pilotos de caza en una fuerza de elite eficiente.",Lorem Ipsum,TRUE,,,"carrier, npc_only, deprecated",graphics/icons/skills/wing_commander.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#flux_modulation,Modulacion de la red electrica,155,1,,,El mantenimiento preventivo y algunos ajustes improvisados bien ejecutados pueden aumentar enormemente la capacidad de la red electrica de la nave.,Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/power_grid_manipulation.png,
,,,,,,,,,,,,,
#ship_design,Diseno de equipamiento,170,2,,,"Las especificaciones base para la dotacion de las naves son notablemente conservadoras, y un ingeniero experimentado puede forzarlas muy por encima de sus limites declarados.",Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/loadout_design.png,
,,,,,,,,,,,,,
#fleet_logistics,Logistica de flota,1560,4,,,"Asegurar que los suministros y otros materiales lleguen a donde deben no es una tarea gloriosa. Sin embargo, es critica, tanto para hacer frente a emergencias como para garantizar el buen funcionamiento de las operaciones diarias.",Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/fleet_logistics.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#recovery_operations,Operaciones de recuperacion,260,1,,,"Extraer equipo operativo o incluso piezas de repuesto utiles de los restos requiere un amplio conocimiento tecnico, prudencia y la voluntad de asumir riesgos calculados.",Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/recovery_ops.png,
#safety_procedures,Procedimientos de seguridad,1540,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/safety_procedures.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
aptitude_combat,,0,,,,,,,,,,graphics/icons/skills/category_combat.png,
aptitude_leadership,,0,,,,,,,,,,graphics/icons/skills/category_leadership.png,
aptitude_technology,,0,,,,,,,,,,graphics/icons/skills/category_technology.png,
aptitude_industry,,0,,,,,,,,,,graphics/icons/skills/category_industry.png,
